,Origin,Destination,Time (min),Summary,Directions
53,Holy Everest,Camba La Che,5.483333333333333,,Head southwest on Eisenbahnstraße. Go for 122 m.Turn slightly right. Go for 106 m.Turn left. Go for 65 m.Turn left onto Lausitzer Platz. Go for 23 m.Arrive at Lausitzer Platz. Your destination is on the right.
54,Camba La Che,Café Mori,4.216666666666667,,Head southeast on Lausitzer Straße. Go for 160 m.Turn right onto Wiener Straße. Go for 82 m.Arrive at Wiener Straße. Your destination is on the right.
55,Café Mori,"A-Thai, Viêt Street Kitchen",6.383333333333334,,Head northwest on Wiener Straße. Go for 166 m.Turn slightly right onto Manteuffelstraße. Go for 118 m.Turn left onto Naunynstraße. Go for 79 m.Arrive at Naunynstraße. Your destination is on the left.
56,"A-Thai, Viêt Street Kitchen",Schwarze Heidi,2.783333333333333,,Head northwest on Naunynstraße. Go for 167 m.Arrive at Naunynstraße. Your destination is on the left.
57,Schwarze Heidi,Babylon Grill,6.983333333333333,,Head northwest on Naunynstraße. Go for 16 m.Turn left onto Mariannenstraße. Go for 392 m.Arrive at Mariannenstraße. Your destination is on the right.
58,Babylon Grill,Langano,5.25,,Head southwest on Mariannenstraße. Go for 188 m.Turn right onto Mariannenstraße. Go for 118 m.Arrive at Kohlfurter Straße.
59,Langano,Melro,7.35,,Head southeast on Kohlfurter Straße. Go for 91 m.Turn right onto Kottbusser Brücke. Go for 92 m.Turn right onto Planufer. Go for 38 m.Turn left onto Graefestraße. Go for 192 m.Arrive at Graefestraße. Your destination is on the left.
60,Melro,Datscha,0.7333333333333333,,Head southwest on Graefestraße. Go for 24 m.Turn left onto Böckhstraße. Go for 20 m.Arrive at Böckhstraße. Your destination is on the left.
61,Datscha,Tak Tak Polish Deli,1.4,,Head northwest on Böckhstraße. Go for 20 m.Turn left onto Graefestraße. Go for 62 m.Arrive at Graefestraße. Your destination is on the left.
62,Tak Tak Polish Deli,Ela Ent,0.7333333333333333,,Head southwest on Graefestraße. Go for 44 m.Arrive at Graefestraße. Your destination is on the left.
63,Ela Ent,Gasthaus Figl,6.433333333333334,,Head southwest on Graefestraße. Go for 251 m.Turn left onto Urbanstraße. Go for 125 m.Arrive at Urbanstraße. Your destination is on the right.
64,Gasthaus Figl,Wirtshaus zum Mitterhofer,6.133333333333334,,Head northwest on Urbanstraße. Go for 311 m.Turn left. Go for 51 m.Arrive at your destination on the left.
